Epoch,TrainLoss,ValLoss,TrainMSE_Low,ValMSE_Low,TrainRMSE_Low,ValRMSE_Low,TrainMAE_Low,ValMAE_Low,TrainMAPE_Low,ValMAPE_Low,TrainR2_Low,ValR2_Low,TrainMSE_Open,ValMSE_Open,TrainRMSE_Open,ValRMSE_Open,TrainMAE_Open,ValMAE_Open,TrainMAPE_Open,ValMAPE_Open,TrainR2_Open,ValR2_Open,TrainMSE_Volume,ValMSE_Volume,TrainRMSE_Volume,ValRMSE_Volume,TrainMAE_Volume,ValMAE_Volume,TrainMAPE_Volume,ValMAPE_Volume,TrainR2_Volume,ValR2_Volume,TrainMSE_High,ValMSE_High,TrainRMSE_High,ValRMSE_High,TrainMAE_High,ValMAE_High,TrainMAPE_High,ValMAPE_High,TrainR2_High,ValR2_High,TrainMSE_Adjusted Close,ValMSE_Adjusted Close,TrainRMSE_Adjusted Close,ValRMSE_Adjusted Close,TrainMAE_Adjusted Close,ValMAE_Adjusted Close,TrainMAPE_Adjusted Close,ValMAPE_Adjusted Close,TrainR2_Adjusted Close,ValR2_Adjusted Close,TrainTime,ValTime
1,0.11272696895045635,0.011416853591799735,0.03665966,0.009097217,0.19146714,0.09537933,0.1775409,0.08847985,95.87793350219727,7.706509530544281,0.3418717509535901,-0.827183227581705,0.03698012,0.011809995,0.19230215,0.1086738,0.17725436,0.10382422,104.73674535751343,9.065477550029755,0.33605521497294,-1.4834440595094374,0.5775848,0.010727205,0.75999,0.10357222,0.36412877,0.07478517,125.37006139755249,25.933152437210083,0.46491793572413787,-0.4997614603559475,0.03747712,0.011695074,0.19359009,0.10814376,0.17921768,0.103414886,96.99258208274841,8.972126990556717,0.3303932079746472,-1.625594271355804,0.04390743,0.013754772,0.209541,0.11728074,0.19432527,0.111487344,111.13674640655518,9.714063256978989,0.21388678444597065,-1.8842694448734334,0.886605978012085,0.015644550323486328
2,0.08868542029884038,0.006559158570598811,0.015331101,0.0008128903,0.12381882,0.028511232,0.11674139,0.022280611,53.02886366844177,2.0325245335698128,0.724770208629953,0.8367303538733372,0.0147532895,0.00077985483,0.12146312,0.02792588,0.11428895,0.022335086,55.4362416267395,1.9259139895439148,0.7351179707079367,0.8360096139616359,0.50143504,0.028228411,0.70812076,0.16801313,0.3325345,0.14959183,130.89900016784668,43.99920105934143,0.5354641276067318,-2.946590098134197,0.021779492,0.0018975264,0.14757876,0.043560605,0.14116903,0.039307076,63.44783902168274,3.5321325063705444,0.6108639880605085,0.5739971330319469,0.021675576,0.0010771134,0.14722627,0.032819405,0.13993625,0.025968356,64.52326774597168,2.3677565157413483,0.6119232050740351,0.7741376384042085,0.7536113262176514,0.0064885616302490234
3,0.08025015871384118,0.005177409271709621,0.005645072,0.00069647585,0.075133696,0.026390828,0.06986313,0.021777255,33.00909399986267,1.9072456285357475,0.8986575016817748,0.860112278071065,0.0027873896,0.0018158887,0.052795734,0.042613246,0.047313936,0.038854178,22.725465893745422,3.3871587365865707,0.9499549266678201,0.6181490655987784,0.40528715,0.02149462,0.63662165,0.14661044,0.30959603,0.1257416,168.061101436615,37.792178988456726,0.6245367040191779,-2.0051446316249186,0.005713505,0.0009033532,0.075587735,0.030055834,0.07053095,0.025164505,33.99444818496704,2.1676167845726013,0.8979163300779627,0.7971933321262614,0.0059321444,0.0009767087,0.077020414,0.03125234,0.07097807,0.026057074,33.191630244255066,2.266071178019047,0.8937916331732016,0.7951917299061894,0.8431522846221924,0.0
4,0.07325637794904483,0.005612506595207378,0.004247168,0.00072107685,0.0651703,0.026852874,0.061283536,0.02256785,30.84005117416382,1.977190189063549,0.9237532044376157,0.8551711419473083,0.004154053,0.00031970153,0.06445194,0.0178802,0.0619802,0.013710646,30.95855712890625,1.2206537649035454,0.9254177122746259,0.9327721324776885,0.37510154,0.025676092,0.6124553,0.16023761,0.29719245,0.1413876,169.3405032157898,41.38232171535492,0.6525010494865262,-2.589752755477284,0.004358765,0.00049068406,0.06602094,0.02215139,0.06278721,0.018084168,31.57046139240265,1.5666451305150986,0.9221215861405869,0.8898393199530065,0.0038659628,0.0008549782,0.06217687,0.02924001,0.057341896,0.024281269,27.088662981987,2.1186819300055504,0.9307842869710719,0.8207176575045138,0.8230745792388916,0.015624284744262695
5,0.07037165429153779,0.004918333794921637,0.0040106936,0.00054049474,0.06333004,0.023248542,0.059933607,0.018779363,29.48978543281555,1.6597393900156021,0.9279984889373781,0.8914412083346425,0.002448845,0.00034742797,0.049485806,0.01863942,0.047103196,0.01448725,23.789340257644653,1.274186372756958,0.9560331936908542,0.9269417290609957,0.35705584,0.022741657,0.5975415,0.15080337,0.2958621,0.13097331,178.36159467697144,38.73452544212341,0.6692187873009288,-2.1794918265651777,0.0029105223,0.00028531675,0.053949255,0.016891321,0.05157397,0.013294786,24.255870282649994,1.1722817085683346,0.9479974606304872,0.9359451617955868,0.0022596635,0.0006767727,0.04753592,0.026014855,0.04345541,0.02121945,19.748501479625702,1.8628213554620743,0.9595432721032467,0.8580860016193692,0.8093893527984619,0.015647172927856445
6,0.06759963921289348,0.0050082675064913925,0.0020117513,0.00052920025,0.04485255,0.023004353,0.042915806,0.016779678,20.730872452259064,1.5213167294859886,0.9638842696108781,0.8937097127682612,0.0011933976,0.00033402056,0.034545586,0.01827623,0.033031926,0.013317539,15.302300453186035,1.2014426290988922,0.9785736204122831,0.9297610812551107,0.34988236,0.023385797,0.59150857,0.15292415,0.29306138,0.13334852,175.45089721679688,39.27991986274719,0.6758644006797357,-2.269548371621411,0.0015592228,0.00027552256,0.039486997,0.016598873,0.037836205,0.012967828,17.881348729133606,1.1468518525362015,0.9721412368818539,0.9381439997345757,0.0025311376,0.0005167975,0.05031041,0.02273318,0.048208665,0.017799182,25.108513236045837,1.5860151499509811,0.9546828294193077,0.8916315654774474,0.8124496936798096,0.0
7,0.06869566324166954,0.005897258501499891,0.0012811911,0.0008145191,0.03579373,0.02853978,0.033114072,0.024718203,17.508423328399658,2.1724846214056015,0.9769995661311843,0.8364031901742733,0.0006103006,0.0010073071,0.024704263,0.031738102,0.021734264,0.02851988,12.998481094837189,2.5016089901328087,0.9890426015075877,0.7881802336457009,0.34441665,0.024205333,0.5868702,0.15558062,0.28932017,0.13630073,170.48031091690063,39.99699950218201,0.6809279266523574,-2.3841269152097215,0.00078872294,0.0012508694,0.028084211,0.03536763,0.025666732,0.031563744,13.854765892028809,2.749503217637539,0.9859078220325067,0.7191744513820844,0.0009088403,0.0022082662,0.030146977,0.046992194,0.027277919,0.042602815,15.141893923282623,3.7261873483657837,0.9837282383888243,0.5369436368701277,0.8533742427825928,0.0
8,0.06686288809846834,0.005262428778223693,0.00044427387,0.0016360817,0.021077804,0.040448505,0.018209938,0.03649186,8.758687227964401,3.2003264874219894,0.9920242248542357,0.6713917023506556,0.0007287948,0.0011193553,0.026996199,0.03345677,0.024298765,0.030236607,12.102267891168594,2.647612988948822,0.986915145187732,0.7646183663469113,0.33856827,0.022421675,0.5818662,0.14973868,0.28586042,0.12983452,163.67777585983276,38.4284645318985,0.6863459771685468,-2.1347555604792627,0.001277952,0.00038348977,0.035748456,0.019582896,0.03323512,0.0158192,15.02058357000351,1.3787128031253815,0.9771667265691293,0.9139048981182858,0.0011140704,0.0007515424,0.033377692,0.027414273,0.029819284,0.022694375,12.94223815202713,1.991814747452736,0.980053822183415,0.8424073773665147,0.7583680152893066,0.0
9,0.06598819323896783,0.005848376039648428,0.0011609234,0.0005730702,0.034072325,0.023938885,0.030835487,0.019757004,13.45551311969757,1.7468640580773354,0.9791586570803776,0.8848983974879338,0.0008803017,0.0006857023,0.029669879,0.026185919,0.026610132,0.022426754,11.872540414333344,1.9598981365561485,0.9841949743478345,0.855808311832321,0.33787915,0.026576003,0.58127373,0.16302148,0.28322402,0.1442538,160.34356355667114,41.95502698421478,0.6869843895385496,-2.715568334882785,0.0005314696,0.00046299797,0.023053624,0.021517387,0.02071607,0.017570404,9.108646959066391,1.531434804201126,0.9905041890759771,0.8960549606155973,0.0005683171,0.0009441067,0.023839401,0.03072632,0.02065915,0.02606164,8.561961352825165,2.2845514118671417,0.9898249230105313,0.8020281271912577,0.8204991817474365,0.0025146007537841797
10,0.06492331672631638,0.004786897572921589,0.0005637057,0.00049772277,0.023742488,0.022309702,0.021453736,0.016351685,8.788066357374191,1.4752842485904694,0.9898801394014218,0.9000319865462723,0.00022981054,0.0004332328,0.015159504,0.020814246,0.013000924,0.016905934,5.392628535628319,1.4872207306325436,0.9958739588776142,0.9088984078682322,0.3361003,0.022023117,0.5797416,0.14840187,0.2840106,0.12756078,156.67648315429688,37.89976239204407,0.6886322747861734,-2.0790334375162973,0.00034903118,0.0002807609,0.018682376,0.016755922,0.01668171,0.013124452,7.801248133182526,1.160887721925974,0.9937638307681077,0.9369679753135922,0.0006793665,0.0006996524,0.02606466,0.026450943,0.023458237,0.021724645,10.534922778606415,1.9120920449495316,0.9878367066966052,0.8532883069790864,0.8165853023529053,0.015630245208740234
