Epoch,TrainLoss,ValLoss,TrainMSE_Low,ValMSE_Low,TrainRMSE_Low,ValRMSE_Low,TrainMAE_Low,ValMAE_Low,TrainMAPE_Low,ValMAPE_Low,TrainR2_Low,ValR2_Low,TrainMSE_Open,ValMSE_Open,TrainRMSE_Open,ValRMSE_Open,TrainMAE_Open,ValMAE_Open,TrainMAPE_Open,ValMAPE_Open,TrainR2_Open,ValR2_Open,TrainMSE_Volume,ValMSE_Volume,TrainRMSE_Volume,ValRMSE_Volume,TrainMAE_Volume,ValMAE_Volume,TrainMAPE_Volume,ValMAPE_Volume,TrainR2_Volume,ValR2_Volume,TrainMSE_High,ValMSE_High,TrainRMSE_High,ValRMSE_High,TrainMAE_High,ValMAE_High,TrainMAPE_High,ValMAPE_High,TrainR2_High,ValR2_High,TrainMSE_Adjusted Close,ValMSE_Adjusted Close,TrainRMSE_Adjusted Close,ValRMSE_Adjusted Close,TrainMAE_Adjusted Close,ValMAE_Adjusted Close,TrainMAPE_Adjusted Close,ValMAPE_Adjusted Close,TrainR2_Adjusted Close,ValR2_Adjusted Close,TrainTime,ValTime
1,0.19450539570640435,0.09978200644254684,0.09161081,0.029255964,0.30267277,0.17104375,0.22915806,0.14584158,67.94984936714172,19.843478500843048,-0.691368184862073,0.6016945911625664,0.08358203,0.025522558,0.28910556,0.15975781,0.21858524,0.1359684,65.34796953201294,17.97354519367218,-0.5150408748539366,0.6566306015846586,1.1260098,0.389994,1.0611361,0.62449497,0.64596397,0.42213723,473.45523834228516,360.2442979812622,-0.07184496679767438,-0.2552096743656096,0.09053272,0.02635733,0.30088657,0.1623494,0.22794843,0.1377572,68.22232604026794,17.70045906305313,-0.6297878191469362,0.6399030445445684,0.10061586,0.02778019,0.31720003,0.1666739,0.2396647,0.14164776,71.60930633544922,19.161470234394073,-0.8231113187870873,0.6241644766096739,0.21416401863098145,0.0
2,0.2537083266810937,0.07318372651934624,0.06942548,0.017751412,0.26348716,0.13323443,0.20086643,0.10842706,58.07233452796936,16.370460391044617,-0.28177057379284065,0.7583233370056929,0.06590036,0.015523577,0.25671065,0.124593645,0.19305514,0.10474933,56.25894069671631,14.669014513492584,-0.19453597620527008,0.7911525326129253,0.7075965,0.29967076,0.84118754,0.54742193,0.5583168,0.44918844,407.5541019439697,175.58785676956177,0.3264413621430209,0.035498991921374734,0.076527,0.016591184,0.27663514,0.12880677,0.22036521,0.10161375,62.41188645362854,15.086862444877625,-0.37765406595250983,0.7733292721096914,0.06889723,0.016381701,0.26248282,0.12799102,0.20127149,0.10460963,58.64401459693909,15.328818559646606,-0.24838506752717726,0.7783735366861715,0.20216870307922363,0.0
3,0.17959408114918254,0.05172029342502356,0.013995405,0.012070625,0.11830218,0.109866396,0.10064689,0.094419904,22.994500398635864,13.336186110973358,0.7416092629581276,0.8356644511599738,0.014383472,0.012273496,0.11993111,0.11078581,0.10400194,0.096378684,23.311562836170197,13.187335431575775,0.7392795260324008,0.8348777244463172,0.63005805,0.20879404,0.79376197,0.45693988,0.51506126,0.30145082,687.7491474151611,179.88379001617432,0.4002498720828531,0.32798893979694277,0.020273542,0.013953975,0.14238518,0.11812694,0.12118949,0.10082018,27.168846130371094,13.324008882045746,0.635031743001752,0.8093591384792943,0.0152328415,0.011509344,0.1234214,0.10728161,0.10470984,0.091784686,24.09243732690811,12.666745483875275,0.7239881780861634,0.8442911937522549,0.180952787399292,0.015644073486328125
4,0.13415434397757053,0.044306802190840246,0.013738987,0.005606123,0.11721343,0.07487404,0.09377003,0.06014199,27.919644117355347,9.347523748874664,0.7463434168788297,0.923675431708739,0.014086645,0.00514033,0.118687175,0.071696095,0.10200063,0.05785568,29.086631536483765,8.996390551328659,0.7446599140669978,0.9308442300405074,0.62919897,0.20147493,0.79322064,0.4488596,0.48131165,0.2919315,534.6015930175781,150.57770013809204,0.4010676519167835,0.3515457439030054,0.015379686,0.0041803177,0.12401486,0.06465538,0.1010103,0.05227104,30.01064360141754,7.617606967687607,0.72313187317316,0.9428880050804314,0.013502439,0.005132307,0.11619999,0.07164012,0.09557135,0.05766072,28.436708450317383,8.708902448415756,0.7553422587835781,0.9305655263970106,0.21525120735168457,0.0
5,0.1391770758412101,0.04497343003749847,0.004186666,0.0031962853,0.064704455,0.0565357,0.048467156,0.04486211,11.175501346588135,5.577992275357246,0.9227035216256886,0.956484159864987,0.0047847815,0.0034163757,0.069172114,0.05844977,0.05138726,0.044865865,11.811527609825134,5.255443602800369,0.9132691619169867,0.9540375623836924,0.61434937,0.21091439,0.7838044,0.45925418,0.5082587,0.29802132,707.8921318054199,186.96476221084595,0.41520293209883463,0.32116452060211353,0.005082439,0.004043543,0.07129123,0.06358886,0.053026307,0.04915454,12.09910586476326,5.706397444009781,0.9085049413118651,0.9447566381936504,0.0043248683,0.003296557,0.065763734,0.057415653,0.048767645,0.045569547,11.489614099264145,5.628690496087074,0.9216354499625373,0.9554011968194722,0.19666337966918945,0.0
6,0.12936381047422235,0.042015565629117194,0.0023089286,0.0030335658,0.048051313,0.055077817,0.03962863,0.04460013,11.349469423294067,6.496799737215042,0.9573713118898494,0.9586995064506612,0.0036441507,0.0022295243,0.060366802,0.04721784,0.049290083,0.036988962,14.140856266021729,5.313092842698097,0.9339446915128636,0.9700049505639274,0.60401493,0.20010617,0.77718395,0.4473323,0.4770633,0.28459346,564.6900177001953,155.09212017059326,0.425040243921915,0.3559511056697704,0.0033976021,0.0019137764,0.058288954,0.04374673,0.04890887,0.035101403,13.900525867938995,4.78859506547451,0.9388357071368343,0.9738537608517235,0.0030508605,0.0027947878,0.055234596,0.05286575,0.046578024,0.042187966,13.200180232524872,5.954570323228836,0.9447198669239133,0.9621895844115262,0.19685053825378418,0.0
7,0.12641667583110658,0.04285982847213745,0.0006228202,0.0019901542,0.024956366,0.044611145,0.019480905,0.034470282,3.951544687151909,4.32896725833416,0.9885011578626023,0.9729050389365885,0.0009556249,0.0017827998,0.030913183,0.042223215,0.024123777,0.031285428,4.6947576105594635,3.63386832177639,0.9826779657849533,0.9760149862597116,0.6025535,0.20518357,0.7762432,0.45297194,0.5085521,0.29527617,677.772331237793,181.96570873260498,0.4264314062253963,0.3396093782317411,0.0012950135,0.0026011271,0.035986297,0.051001247,0.027887411,0.03854297,5.333909019827843,4.3877724558115005,0.9766869151541375,0.9644630877611907,0.0012622826,0.0027414947,0.035528615,0.052359283,0.028093958,0.040064156,5.227653309702873,4.667162895202637,0.9771280407963636,0.9629105805299328,0.25250887870788574,0.0
8,0.12464972729371353,0.04302542796358466,0.000519081,0.0019053906,0.02278335,0.04365078,0.017752636,0.034056563,4.359365627169609,4.476742818951607,0.9904164457089267,0.9740590523702531,0.0008001104,0.0014893902,0.028286222,0.038592618,0.021691157,0.029632086,5.88684007525444,3.618065267801285,0.9854968841460027,0.9799623937799979,0.6062319,0.2082978,0.778609,0.45639655,0.4703865,0.28638428,549.8936176300049,167.00912714004517,0.4229299002889053,0.3295860603140325,0.0012020782,0.0014137843,0.034670997,0.037600324,0.02661802,0.028598076,7.476150989532471,3.5323534160852432,0.9783599546291009,0.9806847127164563,0.0009246612,0.002020741,0.030408243,0.044952653,0.023631765,0.03514575,6.203936785459518,4.423706978559494,0.9832455799434922,0.9726615900842331,0.20930767059326172,0.0
9,0.12504816385494036,0.042345981625840065,0.0012155476,0.002103442,0.034864705,0.045863297,0.025506537,0.035327625,6.8601347506046295,4.697790369391441,0.977557903531324,0.9713626820562842,0.00054590125,0.001435672,0.023364529,0.037890263,0.018017204,0.02857899,4.261031374335289,3.4052278846502304,0.990104778434404,0.9806850924232977,0.60051465,0.20399567,0.7749288,0.45165882,0.5088371,0.29288346,675.2504348754883,180.94815015792847,0.4283721681530197,0.3434326737110721,0.0006604402,0.0020290047,0.02569903,0.045044474,0.019795982,0.03399882,3.9787445217370987,3.875405713915825,0.9881106274584255,0.9722794937214473,0.000686659,0.0021661287,0.02620418,0.046541687,0.020294564,0.036107607,3.993093967437744,4.3382298201322556,0.9875580664977758,0.9706946511010349,0.18111395835876465,0.015557050704956055
10,0.1246831151233478,0.0426893062191084,0.0004815301,0.0018149024,0.021943795,0.04260167,0.016662119,0.03306961,3.7032298743724823,4.313309863209724,0.9911097310727647,0.9752910061509827,0.0005000404,0.0013998208,0.022361584,0.03741418,0.017534196,0.028485322,4.344077035784721,3.457946702837944,0.9909360703357576,0.9811674194590607,0.6095395,0.20657977,0.7807301,0.45451048,0.46737984,0.28433242,527.3252964019775,161.0323190689087,0.41978141589749496,0.3351155909483924,0.0018470193,0.0016220099,0.042976964,0.040274184,0.032489643,0.031156939,9.051063656806946,3.7523239850997925,0.9667495956070358,0.9778399082204013,0.0012634721,0.0020300085,0.035545353,0.045055617,0.027489867,0.035185434,7.216405868530273,4.444096609950066,0.977106488462309,0.9725362109499373,0.18654227256774902,0.010014533996582031
11,0.1258057819002054,0.041798873362131415,0.0005795518,0.0018854786,0.024073882,0.0434221,0.017950235,0.033277024,3.5973243415355682,4.194029793143272,0.9893000020608237,0.9743301440568071,0.0006104016,0.0017607549,0.024706308,0.04196135,0.01983703,0.03248727,3.6588210612535477,3.737761452794075,0.9889356194792224,0.9763115693909101,0.6023329,0.20189844,0.77610105,0.4493311,0.5127884,0.29230708,682.1557521820068,180.80099821090698,0.4266414055000759,0.3501826775277064,0.000616121,0.001565466,0.024821784,0.03956597,0.018416995,0.029292542,3.6603979766368866,3.466442972421646,0.9889084696408258,0.9786124175595798,0.0011760549,0.0018842263,0.03429366,0.043407675,0.02615376,0.033567995,5.87121956050396,4.153344035148621,0.9786904456901594,0.9745084831250125,0.18098044395446777,0.015622615814208984
12,0.12235641098496589,0.04145519386511296,0.0005064751,0.002148289,0.022505002,0.046349637,0.017077457,0.03627779,3.704332187771797,4.910002276301384,0.9906491832429896,0.9707521126729939,0.00042792683,0.0013089576,0.020686392,0.03617952,0.015766984,0.02718162,3.9311744272708893,3.5020675510168076,0.9922432294617808,0.9823898531904652,0.60961276,0.20059253,0.78077704,0.4478756,0.465522,0.28012678,508.51073265075684,150.6070852279663,0.41971169180047607,0.3543857346311007,0.0008739597,0.0013074715,0.029562809,0.036158975,0.023069503,0.027283465,6.1270128935575485,3.411152958869934,0.984266806372146,0.9821371681775672,0.00091724703,0.0019187033,0.030286087,0.043803006,0.023597827,0.03386552,6.163648143410683,4.359358921647072,0.9833799208894086,0.9740420478605967,0.20574474334716797,0.015616893768310547
13,0.12669753122397445,0.041115838871337476,0.00045853356,0.0019595565,0.021413397,0.04426688,0.015096508,0.03388982,3.088221698999405,4.479776322841644,0.9915343062171039,0.9733216131452074,0.00053020427,0.0012555637,0.023026165,0.035433933,0.016495096,0.026564732,3.58852781355381,3.304443880915642,0.9903893080976929,0.9831081934199203,0.6002292,0.19907638,0.77474463,0.44617978,0.5129666,0.29137635,681.5759658813477,177.18852758407593,0.428643790398031,0.3592655388968591,0.00059200556,0.0014006784,0.024331164,0.037425637,0.01777737,0.027526753,3.6995738744735718,3.3187460154294968,0.9893425994105998,0.9808637659235646,0.00083373813,0.0018869966,0.028874524,0.043439575,0.021829763,0.033554066,4.370185732841492,4.11679707467556,0.984893063396393,0.9744710063758594,0.2164020538330078,0.0
14,0.12248117942363024,0.040444796835072336,0.0007766057,0.0023313824,0.027867645,0.04828439,0.021440092,0.03890958,4.565680772066116,5.252973362803459,0.985661886084569,0.9682593870924304,0.0005034,0.001311041,0.022436578,0.036208298,0.016483158,0.027651444,3.6878418177366257,3.510632738471031,0.9908751732411328,0.9823618244643592,0.60208803,0.1951573,0.77594334,0.4417661,0.46448934,0.27822945,503.110408782959,140.02076387405396,0.42687447056598893,0.37187923879843865,0.00077312527,0.001333836,0.02780513,0.036521718,0.020458741,0.027443452,4.537409171462059,3.3853594213724136,0.9860820470052191,0.9817769751214125,0.0006175025,0.00209042,0.024849597,0.045721114,0.019822044,0.03629882,4.196011647582054,4.745032265782356,0.9888111495467343,0.9717189078518293,0.19057226181030273,0.021657705307006836
15,0.1231134444983168,0.04022732651792467,0.0006469685,0.00250018,0.025435574,0.0500018,0.020454802,0.04025227,4.457204043865204,5.508074909448624,0.9880553192333441,0.9659612917106101,0.00037233968,0.0013463121,0.019296106,0.036692128,0.0149184745,0.028039316,3.6455098539590836,3.543553501367569,0.993250823668998,0.9818873028743781,0.58971137,0.19412392,0.7679267,0.44059497,0.5032445,0.28782743,649.1103649139404,166.50747060775757,0.438655779002334,0.37520524578924297,0.0009241545,0.0013362615,0.03039991,0.03655491,0.025095146,0.028534435,6.502989679574966,3.653489053249359,0.9833631905115455,0.9817438376470221,0.0005124314,0.0018299553,0.022636946,0.042777978,0.017365217,0.03340489,3.6511361598968506,4.24928292632103,0.9907149872357369,0.9752427113663784,0.18114590644836426,0.019800662994384766
