Epoch,TrainLoss,ValLoss,TrainMSE_Low,ValMSE_Low,TrainRMSE_Low,ValRMSE_Low,TrainMAE_Low,ValMAE_Low,TrainMAPE_Low,ValMAPE_Low,TrainR2_Low,ValR2_Low,TrainMSE_Open,ValMSE_Open,TrainRMSE_Open,ValRMSE_Open,TrainMAE_Open,ValMAE_Open,TrainMAPE_Open,ValMAPE_Open,TrainR2_Open,ValR2_Open,TrainMSE_Volume,ValMSE_Volume,TrainRMSE_Volume,ValRMSE_Volume,TrainMAE_Volume,ValMAE_Volume,TrainMAPE_Volume,ValMAPE_Volume,TrainR2_Volume,ValR2_Volume,TrainMSE_High,ValMSE_High,TrainRMSE_High,ValRMSE_High,TrainMAE_High,ValMAE_High,TrainMAPE_High,ValMAPE_High,TrainR2_High,ValR2_High,TrainMSE_Adjusted Close,ValMSE_Adjusted Close,TrainRMSE_Adjusted Close,ValRMSE_Adjusted Close,TrainMAE_Adjusted Close,ValMAE_Adjusted Close,TrainMAPE_Adjusted Close,ValMAPE_Adjusted Close,TrainR2_Adjusted Close,ValR2_Adjusted Close,TrainTime,ValTime
1,0.2183347310086614,0.015436806110665202,0.00821696,0.0066588563,0.09064745,0.08160181,0.07348972,0.0619623,22.46134579181671,6.101814284920692,0.7952522295321856,0.6581569497111327,0.018206969,0.0028528718,0.1349332,0.05341228,0.12057668,0.045653433,38.01226019859314,5.022120475769043,0.5342189045402626,0.8482567326504569,0.8270549,0.061845347,0.9094256,0.24868725,0.50565475,0.16348301,152.60828733444214,320.69759368896484,0.23446777388279794,0.14616037958164763,0.0149096735,0.0029125414,0.122105174,0.053967968,0.107686184,0.044763606,34.368520975112915,4.812653362751007,0.6171876065498455,0.8458604297237176,0.0076514757,0.0029144133,0.087472714,0.053985305,0.0742781,0.043253258,23.33829551935196,4.509393870830536,0.8036438174381937,0.8466023730490009,0.5192587375640869,0.0
2,0.1285918053043516,0.014405773486942053,0.0063069845,0.005351694,0.07941653,0.07315527,0.061575424,0.056298383,19.949987530708313,5.496399849653244,0.8428444493918256,0.72526222839326,0.004674455,0.0035478168,0.068369985,0.05956355,0.05224391,0.045303233,15.537598729133606,4.531628265976906,0.8804154112075653,0.8112928347731996,0.5895627,0.05858794,0.7678299,0.24204946,0.41440916,0.1484354,173.73019456863403,367.62847900390625,0.4542934425589161,0.19113244374577343,0.0050197276,0.0023719291,0.07085004,0.048702456,0.060477223,0.038675852,17.65456199645996,4.006952419877052,0.8711163012969536,0.8744710930784269,0.003926298,0.0021694887,0.06266018,0.04657777,0.05017546,0.03608046,14.729589223861694,3.6805901676416397,0.8992412725209615,0.885810844252582,0.5168867111206055,0.010012149810791016
3,0.10460506863238518,0.012485686910804362,0.0030391673,0.0012591744,0.05512864,0.035484847,0.04392157,0.029413376,10.635720193386078,3.157435357570648,0.9242709329655496,0.9353582641227418,0.001323584,0.0006675565,0.036381096,0.025837114,0.030549295,0.021638863,7.188460975885391,2.3947736248373985,0.9661393169539629,0.9644929008856202,0.49164218,0.05858377,0.701172,0.24204084,0.37596932,0.1521706,192.4678921699524,376.00696086883545,0.5449299455775154,0.191189923567193,0.001750856,0.00092179433,0.04184323,0.030361066,0.03562794,0.02556071,8.03929716348648,2.949610725045204,0.9550460017300396,0.9512161512524768,0.0018262416,0.0009961391,0.04273455,0.031561673,0.036650673,0.02643304,8.314407616853714,3.0865833163261414,0.9531340299512245,0.9475690809401872,0.47651076316833496,0.015623092651367188
4,0.09352567546853893,0.012253503873944282,0.0012778228,0.0007631818,0.035746645,0.027625745,0.02922465,0.022367958,6.627434492111206,2.4613965302705765,0.9681595917331679,0.9608208434278502,0.0009095094,0.00065694633,0.030158075,0.025630964,0.025344571,0.021937648,5.379414930939674,2.5783469900488853,0.9767324077368961,0.9650572510163017,0.45972767,0.058442216,0.6780322,0.24174824,0.36923665,0.15449873,204.77304458618164,369.2883491516113,0.5744703612270632,0.1931442074190146,0.0010583743,0.0006505838,0.032532666,0.025506545,0.027397953,0.021443846,5.916665121912956,2.4732351303100586,0.9728257759951462,0.9655693448212335,0.00125724,0.0007545836,0.03545758,0.027469685,0.02946525,0.02285215,6.76334947347641,2.6463517919182777,0.9677360527305686,0.9602831407644755,0.5401501655578613,0.0
5,0.08940824418606465,0.012405876116827131,0.0013405696,0.00080992235,0.03661379,0.028459135,0.026387192,0.021911306,6.770361959934235,2.2578157484531403,0.9665960860524376,0.9584213404839993,0.00078696257,0.0004474214,0.028052853,0.021152338,0.022081655,0.017818695,4.916951805353165,2.0181914791464806,0.9798674756155707,0.9762018106283045,0.44991803,0.059557687,0.6707593,0.24404444,0.3692685,0.16625054,203.40261459350586,354.7128200531006,0.5835503398957482,0.17774404876143646,0.0008098093,0.0006020733,0.028457148,0.024537183,0.023744138,0.020022288,5.86591474711895,2.198384888470173,0.9792077909074122,0.9681366477437958,0.0008540743,0.0006122759,0.02922455,0.024744209,0.023817813,0.020043507,5.131024122238159,2.2408880293369293,0.9780822966282811,0.9677733867125228,0.49314332008361816,0.005968332290649414
6,0.08736285562381933,0.013575141626643018,0.0011529288,0.0009400623,0.033954807,0.030660436,0.022407632,0.02360886,6.022657081484795,2.351253665983677,0.9712716669595666,0.9517404022352384,0.0006216019,0.00046858765,0.024931945,0.021646885,0.018097885,0.01641135,4.344667866826057,1.689554750919342,0.9840978244405028,0.9750759865419005,0.44277725,0.06519967,0.6654151,0.25534227,0.36896563,0.18732703,199.8047113418579,346.3742971420288,0.5901599186761951,0.0998504331514658,0.0007136146,0.00069477205,0.026713565,0.02635853,0.02107162,0.02000521,5.764642357826233,2.0681003108620644,0.9816776335363508,0.9632307821855942,0.00061398314,0.0005726056,0.024778683,0.023929179,0.019367862,0.018431215,4.203702136874199,1.963333785533905,0.9842436425696727,0.9698614003718777,0.4928619861602783,0.0
7,0.08563465782718961,0.01441923031816259,0.0010350008,0.0015446099,0.03217143,0.039301526,0.021238914,0.03273959,5.548537522554398,3.3040933310985565,0.9742101605041523,0.9207049807440303,0.0009204364,0.00070672,0.030338695,0.026584206,0.019417383,0.02062099,5.234713107347488,2.076595462858677,0.9764528677911396,0.9624098109278745,0.4320265,0.068738654,0.65728724,0.26218057,0.36796454,0.19791558,198.554527759552,350.2176523208618,0.6001109320478513,0.05099115590881553,0.0006192559,0.0006000391,0.024884852,0.024495695,0.017522294,0.01845083,4.932665079832077,1.8839381635189056,0.9841003337101707,0.9682443104055068,0.0005031142,0.0005061284,0.022430208,0.022497298,0.01722538,0.017101461,4.126472026109695,1.803905889391899,0.9870888189876347,0.9733603706069077,0.48902082443237305,0.005975008010864258
8,0.08436859397854853,0.014287730783689768,0.0016282136,0.002009264,0.04035113,0.044824813,0.025972797,0.038011342,6.741242855787277,3.842506557703018,0.9594286615886358,0.8968512315632313,0.0019144219,0.000987119,0.04375411,0.03141845,0.026742099,0.024869805,7.2920456528663635,2.509412541985512,0.9510241701292167,0.9474954763910888,0.42545623,0.06730329,0.6522701,0.25942877,0.36811167,0.19439298,198.8207459449768,360.4017972946167,0.6061924539774415,0.07080777928379012,0.0004473547,0.00059024565,0.02115076,0.024294972,0.013894564,0.019186148,3.728339448571205,1.9782623276114464,0.9885139719542951,0.9687626051584328,0.0005638709,0.00054873293,0.023745965,0.02342505,0.017328894,0.018149737,4.611838608980179,1.8931195139884949,0.9855296509538773,0.9711179166013905,0.4855954647064209,0.015663862228393555
9,0.08410531564681023,0.01396101675927639,0.00073207414,0.0015235969,0.02705687,0.03903328,0.019670505,0.03334819,5.894774571061134,3.398304432630539,0.9817583953936523,0.9217837146805972,0.0004960926,0.0010865836,0.022273136,0.03296337,0.014695485,0.02764294,3.836970776319504,2.8332099318504333,0.9873086753434721,0.9422049986519309,0.42338428,0.06583756,0.6506799,0.2565883,0.36779732,0.19061084,198.09553623199463,364.8529052734375,0.6081103035257467,0.09104382765596719,0.00080814015,0.00066395244,0.028427806,0.025767274,0.020613128,0.021793839,6.777568906545639,2.3132216185331345,0.9792506472663822,0.9648618396109598,0.0005252835,0.00069338875,0.022919064,0.026332276,0.017013283,0.021057518,4.896391928195953,2.1949853748083115,0.9865198991977551,0.9635040812626984,0.4954977035522461,0.010015487670898438
10,0.08456371893305659,0.014464485796634109,0.0051685213,0.0020977836,0.071892425,0.04580157,0.048691824,0.03883637,15.144884586334229,3.9341434836387634,0.871212337663327,0.8923069297181686,0.0032410747,0.0020505493,0.056930438,0.04528299,0.038145844,0.039104503,11.17737740278244,4.024631530046463,0.9170849787673436,0.8909320057093147,0.41620806,0.06601749,0.6451419,0.2569387,0.36892042,0.19091879,203.93550395965576,366.9428825378418,0.6147526989516894,0.08855960529867402,0.0013802771,0.00068193563,0.03715208,0.026113898,0.023146952,0.021453748,6.985142081975937,2.233588509261608,0.9645607796978117,0.9639101203679287,0.0013750963,0.0014746676,0.037082292,0.0384014,0.026394986,0.03253708,7.003551721572876,3.3643826842308044,0.9647115586351018,0.9223821517443805,0.47711706161499023,0.01563119888305664
11,0.0828820583492256,0.011945696227485314,0.0013104453,0.0007547045,0.036200073,0.027471887,0.02421305,0.020997658,5.910029262304306,2.111755684018135,0.9673467193206088,0.9612560397186719,0.00065301475,0.0003497837,0.025554154,0.018702505,0.0165246,0.014306537,3.967054933309555,1.4634652063250542,0.9832942045571325,0.9813951269765374,0.412731,0.057928063,0.64244145,0.2406825,0.36937708,0.16346696,217.22369194030762,385.5920076370239,0.6179710858560525,0.20024263688248756,0.0009292914,0.00022412566,0.030484281,0.014970827,0.022104617,0.010864054,6.834281235933304,1.203408557921648,0.9761400374744541,0.9881386642398343,0.00060099247,0.0004718043,0.024515148,0.021721056,0.01734523,0.01654886,4.223232343792915,1.7268233001232147,0.9845770170447051,0.975166987416133,0.4784395694732666,0.015662670135498047
12,0.08197135139224038,0.011749316190253012,0.0006466917,0.000553904,0.025430134,0.023535164,0.019099753,0.017947426,4.480844736099243,1.8211202695965767,0.9838859300143266,0.9715644530250023,0.00042179768,0.0001979538,0.020537714,0.014069606,0.014905854,0.010845207,4.0311310440301895,1.1442883871495724,0.9892093310494017,0.9894709054336371,0.41036925,0.057411652,0.6406007,0.23960729,0.36595908,0.16174638,214.770770072937,383.07483196258545,0.6201572015016867,0.20737216426727856,0.00081906136,0.00028479463,0.028619248,0.01687586,0.022002218,0.012176116,6.103759631514549,1.3160291127860546,0.978970241902462,0.984927897754111,0.00066471344,0.00029826892,0.025782038,0.017270464,0.017692229,0.013026239,5.241269990801811,1.4204402454197407,0.9829417753207258,0.9843008732770111,0.4823586940765381,0.010014772415161133
13,0.08177536074480597,0.011746683839010074,0.00064679503,0.000492058,0.025432166,0.02218238,0.019007035,0.016929535,4.825243726372719,1.7443131655454636,0.983883353706582,0.9747394167421224,0.00056865806,0.00025529022,0.023846552,0.015977804,0.01842441,0.012266227,5.176591128110886,1.3087429106235504,0.9854522649942915,0.9864212010698518,0.40877625,0.057250284,0.63935614,0.23927031,0.36528978,0.16168135,211.74683570861816,380.6234121322632,0.6216316583071883,0.20960013437400282,0.00081882346,0.00040548487,0.028615091,0.020136654,0.023344574,0.01502003,6.515662372112274,1.5811825171113014,0.9789763474827186,0.9785406459095722,0.0007364061,0.00033030252,0.027136803,0.018174227,0.019970497,0.013677713,6.173563748598099,1.5120730735361576,0.9811019608723165,0.9826148123520401,0.5004150867462158,0.015583515167236328
