Epoch,TrainLoss,ValLoss,TrainMSE_Low,ValMSE_Low,TrainRMSE_Low,ValRMSE_Low,TrainMAE_Low,ValMAE_Low,TrainMAPE_Low,ValMAPE_Low,TrainR2_Low,ValR2_Low,TrainMSE_Open,ValMSE_Open,TrainRMSE_Open,ValRMSE_Open,TrainMAE_Open,ValMAE_Open,TrainMAPE_Open,ValMAPE_Open,TrainR2_Open,ValR2_Open,TrainMSE_Volume,ValMSE_Volume,TrainRMSE_Volume,ValRMSE_Volume,TrainMAE_Volume,ValMAE_Volume,TrainMAPE_Volume,ValMAPE_Volume,TrainR2_Volume,ValR2_Volume,TrainMSE_High,ValMSE_High,TrainRMSE_High,ValRMSE_High,TrainMAE_High,ValMAE_High,TrainMAPE_High,ValMAPE_High,TrainR2_High,ValR2_High,TrainMSE_Adjusted Close,ValMSE_Adjusted Close,TrainRMSE_Adjusted Close,ValRMSE_Adjusted Close,TrainMAE_Adjusted Close,ValMAE_Adjusted Close,TrainMAPE_Adjusted Close,ValMAPE_Adjusted Close,TrainR2_Adjusted Close,ValR2_Adjusted Close,TrainTime,ValTime
1,0.18573586664799796,0.01666958034038544,0.018474802,0.0029708568,0.13592204,0.054505568,0.12455316,0.046971973,37.058454751968384,5.223240703344345,0.5396503666644992,0.8474863193378507,0.01757492,0.0029745193,0.13257043,0.054539155,0.11687059,0.044584803,37.491920590400696,4.728062450885773,0.5503883900904656,0.8417863440730273,0.85897356,0.06740048,0.92680824,0.25961602,0.5153681,0.14883192,167.97668933868408,364.7108554840088,0.20492348202436395,0.06946599101671502,0.03692411,0.0044681868,0.19215646,0.06684449,0.17690885,0.057082087,53.85252833366394,6.70614019036293,0.051957306823307126,0.763531465228654,0.011607485,0.005533853,0.10773804,0.074389875,0.090000235,0.056782,30.94361126422882,5.654933303594589,0.7021226391578871,0.7087304183755163,0.5301918983459473,0.0
2,0.14097203919664025,0.015349418902769685,0.013650279,0.0027631638,0.11683441,0.052565806,0.09696228,0.040778484,32.174333930015564,4.056214541196823,0.6598664291569145,0.8581485764090203,0.013506815,0.002482672,0.11621882,0.049826417,0.096735105,0.038516123,32.718488574028015,3.8968000560998917,0.6544609380204751,0.8679475375384483,0.55026037,0.0633301,0.74179536,0.2516547,0.3913247,0.15796287,168.3772325515747,370.05484104156494,0.4906722250224109,0.12566191791473957,0.01371527,0.0051169596,0.11711221,0.07153293,0.09285507,0.055228025,33.31981003284454,5.474723130464554,0.6478544295029698,0.7291966509217123,0.016803918,0.0030541997,0.12962992,0.055264816,0.10577752,0.042920034,36.46625876426697,4.3419163674116135,0.5687690300372016,0.8392448104742546,0.5096712112426758,0.020813941955566406
3,0.10531437941091626,0.014953122707083821,0.002592502,0.0019616473,0.050916616,0.044290487,0.042229045,0.03386076,13.276870548725128,3.3615894615650177,0.9354008129550774,0.8992957017572549,0.0024771686,0.0022435787,0.049771164,0.04736643,0.04077798,0.03569046,13.55249285697937,3.5440154373645782,0.9366276560549722,0.880664817018911,0.4722495,0.065621175,0.6872041,0.2561663,0.37798405,0.1764305,195.90188264846802,358.69526863098145,0.5628800172203264,0.09403118791333254,0.0029157528,0.0026879837,0.05399771,0.051845767,0.04391424,0.039148983,14.559561014175415,3.9087533950805664,0.9251367723555766,0.8577446389516363,0.0021797195,0.0022512286,0.046687465,0.04744711,0.038097676,0.036196094,12.06517219543457,3.641858324408531,0.944062895655271,0.8815085193305041,0.49604296684265137,0.010015249252319336
4,0.09312001275911666,0.015151442820206284,0.001119583,0.0022862945,0.03346017,0.04781521,0.026361732,0.036785074,6.621842086315155,3.616314008831978,0.9721025612672036,0.8826294114266787,0.0009880719,0.002470011,0.031433612,0.049699206,0.024569316,0.038341966,6.71352818608284,3.8132503628730774,0.9747225802809086,0.8686209623334789,0.45616066,0.065774485,0.6753967,0.25646538,0.3752167,0.18170865,202.2690773010254,355.4931163787842,0.5777720782620273,0.09191456217301841,0.0012921478,0.0027840259,0.03594646,0.052763868,0.028152756,0.040428206,8.274997770786285,4.022826999425888,0.9668235385349727,0.8526618297062286,0.0011834223,0.0024423897,0.034400906,0.04942054,0.026762605,0.03795502,6.775522232055664,3.796914219856262,0.9696303982058565,0.8714469297905189,0.49103331565856934,0.01003718376159668
5,0.0898435258126834,0.015507329581305384,0.00091119856,0.0028879698,0.030186066,0.053739835,0.023092799,0.042803515,5.294116213917732,4.226933047175407,0.9772950268244038,0.8517414531775113,0.0008008089,0.0033138362,0.028298566,0.057565928,0.021364378,0.04700756,4.920689761638641,4.739179462194443,0.9795132495449843,0.8237381901940746,0.4473797,0.06479417,0.6688645,0.254547,0.37175596,0.18198572,204.2105197906494,359.31971073150635,0.5858998249124339,0.10544887979717465,0.0009635622,0.0034341302,0.031041298,0.058601454,0.023502257,0.04701712,6.213017553091049,4.720936343073845,0.9752601157677956,0.8182565582080039,0.00096457603,0.0031065356,0.031057624,0.055736303,0.023324868,0.044286124,5.518723279237747,4.447191581130028,0.9752465443696968,0.8364901804263416,0.5080883502960205,0.015646934509277344
6,0.08819965460223325,0.015809498820453884,0.00086650706,0.003459538,0.029436491,0.058817837,0.022277553,0.04839115,4.88760843873024,4.818463325500488,0.9784086364572476,0.8223990724999005,0.00076379866,0.004028418,0.027636908,0.06346982,0.020477321,0.05362347,4.232102259993553,5.4605633020401,0.9804600649029925,0.785729849716704,0.44173717,0.063686095,0.6646331,0.25236103,0.36901605,0.18056294,205.12235164642334,367.6846504211426,0.5911225748826399,0.12074692335852566,0.000933439,0.004039214,0.030552235,0.06355481,0.02296281,0.05277563,5.85017055273056,5.3498275578022,0.9760335437923728,0.7862338966565219,0.0009357032,0.0038342217,0.030589266,0.061921094,0.022842525,0.05078556,5.3640007972717285,5.139114707708359,0.9759874939754113,0.7981890599289843,0.5416991710662842,0.0
7,0.08749531410029975,0.015320013649761677,0.00079084694,0.003258573,0.028122,0.057083912,0.021172814,0.046803243,4.973053559660912,4.6572670340538025,0.9802939116294122,0.8327159550080154,0.000614959,0.0034248612,0.024798367,0.058522314,0.017950865,0.048659485,3.776717185974121,4.933753609657288,0.9842677688731312,0.8178328221539729,0.43871406,0.06297682,0.66235495,0.25095183,0.36787567,0.17913538,207.31210708618164,378.6724328994751,0.5939208571026124,0.1305392058961229,0.00086529873,0.0033967209,0.029415961,0.058281396,0.021390697,0.047477994,5.8161139488220215,4.788437858223915,0.9777830756968328,0.8202363518421306,0.0008772397,0.0035430845,0.029618232,0.059523813,0.021875884,0.048415165,5.573089420795441,4.888683184981346,0.9774878150960937,0.8135128089804144,0.5241165161132812,0.010013341903686523
8,0.08757652484877199,0.014559375680983066,0.00075169734,0.0024849714,0.0274171,0.049849488,0.019977018,0.040095307,5.250398442149162,3.976614400744438,0.9812694297311008,0.8724300161902669,0.00052549975,0.0019778076,0.02292378,0.04447255,0.01608171,0.03515584,4.127896949648857,3.526787832379341,0.9865563637978658,0.894801085467977,0.43551996,0.063827194,0.65993935,0.25264046,0.3679332,0.18162407,211.76176071166992,386.1847400665283,0.596877365388765,0.11879902412583743,0.0008994092,0.0020798626,0.029990152,0.04560551,0.020260207,0.035537988,5.952148512005806,3.5571493208408356,0.9769072761673755,0.8899280461925059,0.00085574266,0.002427042,0.029253079,0.04926502,0.020745853,0.03889206,5.763550102710724,3.909865766763687,0.9780394832215937,0.8722547399454109,0.5484035015106201,0.0
9,0.08742323559872284,0.014276227680966258,0.0007360465,0.0020259027,0.027130177,0.04501003,0.01928331,0.036181528,5.174678191542625,3.598248213529587,0.9816594130657619,0.8959970450471092,0.00057650876,0.0011935625,0.024010597,0.034547973,0.016269421,0.026752742,4.707507416605949,2.6909975335001945,0.9852514235316151,0.9365148187898622,0.43270048,0.0650772,0.6577997,0.25510234,0.36726236,0.1851885,214.38322067260742,389.44265842437744,0.59948708803072,0.10154136949866199,0.000957599,0.0013416627,0.030945096,0.036628716,0.02032882,0.028092608,6.080011650919914,2.8283948078751564,0.9754132244835549,0.9289955780158958,0.0008368385,0.0017428098,0.02892816,0.041746974,0.020118317,0.032640617,5.718002840876579,3.2951954752206802,0.9785246125488994,0.9082687176813452,0.5225286483764648,0.0
10,0.0868340502452236,0.014390673418529332,0.0007096174,0.0019784553,0.026638646,0.044479832,0.01897282,0.03601814,5.063707381486893,3.5914037376642227,0.9823179645316185,0.8984328248891458,0.00062269275,0.0009939919,0.024953812,0.031527635,0.017031623,0.024534676,5.0179824233055115,2.48092133551836,0.9840699176876034,0.9471299157647552,0.4318757,0.066350475,0.6571725,0.25758585,0.36615655,0.18888971,213.29851150512695,390.8118009567261,0.6002505404687686,0.08396250484178847,0.0010127027,0.0011168361,0.03182299,0.0334191,0.021408102,0.025713645,6.354653090238571,2.606322057545185,0.9739984127694066,0.9408940069046717,0.000818364,0.0015136085,0.028607061,0.03890512,0.020169541,0.030405477,5.7513900101184845,3.0816148966550827,0.9789987133554225,0.9203325213102929,0.49672484397888184,0.015555143356323242
