Epoch,TrainLoss,ValLoss,TrainMSE_Low,ValMSE_Low,TrainRMSE_Low,ValRMSE_Low,TrainMAE_Low,ValMAE_Low,TrainMAPE_Low,ValMAPE_Low,TrainR2_Low,ValR2_Low,TrainMSE_Open,ValMSE_Open,TrainRMSE_Open,ValRMSE_Open,TrainMAE_Open,ValMAE_Open,TrainMAPE_Open,ValMAPE_Open,TrainR2_Open,ValR2_Open,TrainMSE_Volume,ValMSE_Volume,TrainRMSE_Volume,ValRMSE_Volume,TrainMAE_Volume,ValMAE_Volume,TrainMAPE_Volume,ValMAPE_Volume,TrainR2_Volume,ValR2_Volume,TrainMSE_High,ValMSE_High,TrainRMSE_High,ValRMSE_High,TrainMAE_High,ValMAE_High,TrainMAPE_High,ValMAPE_High,TrainR2_High,ValR2_High,TrainMSE_Adjusted Close,ValMSE_Adjusted Close,TrainRMSE_Adjusted Close,ValRMSE_Adjusted Close,TrainMAE_Adjusted Close,ValMAE_Adjusted Close,TrainMAPE_Adjusted Close,ValMAPE_Adjusted Close,TrainR2_Adjusted Close,ValR2_Adjusted Close,TrainTime,ValTime
1,0.12164261411651497,0.009150569885969162,0.030951513,0.006447361,0.17593043,0.08029546,0.16358656,0.06511486,62.95449733734131,5.784197524189949,0.32913919596451324,0.7160518708159175,0.026496323,0.0054452154,0.16277692,0.073791705,0.15002462,0.064054355,53.93274426460266,5.8840397745370865,0.4276798765593882,0.7667175317537434,0.6052679,0.02121872,0.7779896,0.14566647,0.39915618,0.0957264,158.6259365081787,30.26205003261566,0.4190938614810815,-0.2405630812759556,0.028423516,0.0059723007,0.16859275,0.07728066,0.15702623,0.064894795,59.494978189468384,5.778088420629501,0.3909122973590412,0.7499993685227859,0.02778504,0.006669246,0.16668846,0.08166545,0.15503895,0.06640022,59.583914279937744,5.835386738181114,0.4065773117639815,0.7158829815439871,0.8127903938293457,0.0040438175201416016
2,0.0955103648166302,0.013080641627311707,0.0053482517,0.007969807,0.07313174,0.08927377,0.06525697,0.074083775,23.565003275871277,6.584832817316055,0.884078932249235,0.649001847758009,0.00475453,0.011274643,0.0689531,0.10618212,0.06133068,0.09206141,22.09504246711731,8.257034420967102,0.8973022331399482,0.5169747604125445,0.579604,0.026135955,0.7613173,0.16166618,0.38387346,0.11423415,130.98104000091553,33.51786434650421,0.4437248357128808,-0.5280515207102245,0.004733926,0.010783468,0.068803534,0.10384348,0.061565448,0.08957078,22.533828020095825,7.9563044011592865,0.8985566685665739,0.5486038439621999,0.004109414,0.009239338,0.06410471,0.096121475,0.056856543,0.081694715,20.349381864070892,7.252173870801926,0.9122326375020605,0.6063943136454396,0.7777538299560547,0.0
3,0.09296598430145296,0.00733791864477098,0.0018009525,0.0043601613,0.04243763,0.066031516,0.036844254,0.05373253,12.450146675109863,4.776982963085175,0.9609651317841551,0.8079742139791253,0.0017454401,0.0048631225,0.041778464,0.06973609,0.03589112,0.057386886,12.100353091955185,5.080918595194817,0.9622985237051377,0.7916554040695093,0.44908273,0.020487601,0.67013633,0.1431349,0.33592293,0.10031746,124.55885410308838,29.039815068244934,0.5689927125899821,-0.19781779553536216,0.0017009074,0.004218028,0.04124206,0.064946346,0.03608673,0.052612316,12.572447955608368,4.613391309976578,0.9635512498941646,0.8234332805119998,0.0019021395,0.0027606813,0.043613523,0.052542187,0.038016308,0.041298866,12.733760476112366,3.6328930407762527,0.9593747960755084,0.8823920305127827,0.8214154243469238,0.0
4,0.0810072417872003,0.005770236765965819,0.00071696565,0.002224538,0.026776215,0.04716501,0.022854786,0.037432402,7.376744598150253,3.351948782801628,0.9844600773101663,0.9020291561345836,0.001641857,0.0026235993,0.040519834,0.051221084,0.036251195,0.04037008,13.124465942382812,3.55849489569664,0.9645359135379125,0.8876004725280386,0.4140202,0.01936014,0.643444,0.13914073,0.32842794,0.09949936,127.18034982681274,28.14253866672516,0.602643944014432,-0.13190015123802779,0.0008297266,0.0025970652,0.028804975,0.05096141,0.025434142,0.040850732,9.25358235836029,3.614167496562004,0.9822197856749897,0.8912868105785486,0.0005053533,0.0020458438,0.022480065,0.045231003,0.018882569,0.036086693,6.136278435587883,3.228355199098587,0.989206848607425,0.9128448756128831,0.7297241687774658,0.0
5,0.0777617738835655,0.005218403832986951,0.00055007444,0.0019285305,0.023453666,0.043915037,0.02004031,0.035216942,6.652791798114777,3.1806670129299164,0.9880773734734773,0.9150656150292442,0.00087713567,0.002275156,0.029616477,0.047698595,0.026174473,0.038285702,9.215890616178513,3.408535197377205,0.9810538851546098,0.9025283684301634,0.39121607,0.018318957,0.62547266,0.13534755,0.32584238,0.097734064,133.6254596710205,27.422350645065308,0.6245302400874264,-0.07102689613419466,0.0007813523,0.0018252571,0.027952679,0.042723026,0.02508127,0.03334298,9.501174837350845,2.956387586891651,0.9832563978249175,0.9235947084829591,0.0007160998,0.0017441204,0.026760042,0.04176267,0.023668377,0.033189345,8.653444051742554,2.988065779209137,0.984705802618261,0.925698618353167,0.7308390140533447,0.0
6,0.07542320730789459,0.005243247468024492,0.00046542782,0.002405349,0.021573776,0.049044356,0.018324299,0.041588224,5.979645624756813,3.8109105080366135,0.9899120518339342,0.8940660586432028,0.0008176263,0.0020570287,0.028594166,0.045354478,0.025372725,0.036356125,8.765008300542831,3.2441016286611557,0.9823392848134823,0.9118733280920123,0.37976447,0.017100465,0.61625034,0.13076875,0.3257239,0.09558502,136.65006160736084,26.555976271629333,0.6355209116026583,0.0002128597113165709,0.00057070167,0.0028044276,0.023889363,0.052956846,0.020883529,0.045292653,7.8261688351631165,4.100535437464714,0.9877704306087125,0.8826066064044757,0.00043293188,0.0018489673,0.020807015,0.042999618,0.017753167,0.035034668,5.73757067322731,3.174499422311783,0.9907535988140543,0.9212320212534973,0.714728593826294,0.0
7,0.07408413928461886,0.0043714385246858,0.00028155805,0.0007563863,0.016779691,0.027502479,0.013772572,0.020017304,4.222510755062103,1.827153004705906,0.9938973495843384,0.9666880023412315,0.0004039759,0.0013142086,0.020099152,0.036252014,0.017458556,0.027815348,5.677064135670662,2.4876756593585014,0.9912741273188348,0.9436970272667544,0.3769379,0.017772093,0.6139527,0.13331202,0.32537258,0.09812606,136.47668361663818,27.088463306427002,0.6382336932655849,-0.03905426077057772,0.0005399995,0.00083778135,0.02323789,0.028944453,0.020650083,0.020953476,7.181376218795776,1.8910927698016167,0.9884283469719225,0.9649304578097986,0.00029560595,0.0011767229,0.017193194,0.034303397,0.014143255,0.026482794,4.422784224152565,2.4132829159498215,0.9936865561611892,0.9498703456754469,0.7164373397827148,0.015651702880859375
8,0.07342271040535614,0.004230175912380218,0.00048155818,0.0008091773,0.021944433,0.028446041,0.019058757,0.020993505,6.517237424850464,1.9138503819704056,0.9895624335723433,0.9643630341674843,0.00067062455,0.00112303,0.025896419,0.03351164,0.02311771,0.025004465,7.855471223592758,2.22580973058939,0.9855145198549096,0.9518874485987927,0.37275052,0.017422795,0.610533,0.13199544,0.32391548,0.09733183,135.35544872283936,26.781967282295227,0.6422525531374581,-0.018632342815432912,0.00049843034,0.001062881,0.022325553,0.032601856,0.019848524,0.024427876,7.182273268699646,2.18678992241621,0.9893191339516225,0.9555077824487108,0.00058763206,0.00073299604,0.024241123,0.0270739,0.020904688,0.019313361,6.885106116533279,1.7871448770165443,0.9874495685730291,0.9687735912446857,0.7665555477142334,0.0
9,0.0726590152045924,0.004193396610207856,0.00026692785,0.0008821955,0.016337927,0.029701775,0.012906645,0.022460952,4.443776607513428,2.0570848137140274,0.9942144534275339,0.9611472420336441,0.00038007542,0.00071860885,0.019495523,0.02680688,0.01694871,0.019123355,5.354570224881172,1.7236201092600822,0.9917903764821258,0.9692135510942876,0.37013027,0.017723845,0.6083833,0.13313094,0.3233929,0.098752536,135.0583791732788,27.014046907424927,0.6447673648643927,-0.03623341715908901,0.00031742343,0.00090728264,0.017816382,0.030121133,0.015199664,0.022108112,5.270865559577942,1.9937455654144287,0.9931979313343705,0.9620211310697325,0.00027866405,0.0007350507,0.016693234,0.027111819,0.013341179,0.019166494,4.333983734250069,1.7718901857733727,0.9940483950375522,0.9686860555422451,0.7468254566192627,0.0
10,0.07282983721528627,0.004429309058468789,0.00024990435,0.0009900528,0.015808363,0.031465106,0.012146117,0.024656417,4.131921008229256,2.274627611041069,0.9945834310400474,0.9563970965181838,0.0004214573,0.0005809616,0.020529425,0.024103144,0.018102078,0.016561555,6.431356072425842,1.5077088959515095,0.9908965282654658,0.97511059831269,0.36819226,0.019124938,0.60678846,0.13829294,0.32208836,0.10244232,134.3734860420227,27.98442244529724,0.6466273625649878,-0.11814896889676785,0.0004084041,0.0007303173,0.02020901,0.027024385,0.01743303,0.01893107,6.367933005094528,1.7187150195240974,0.9912483062183463,0.969428904083352,0.00033011672,0.00072027533,0.018169114,0.026837945,0.015024193,0.018932203,4.751972481608391,1.7550673335790634,0.9929494878030577,0.9693155004929345,0.7597460746765137,0.01002645492553711
11,0.07264583097193154,0.0043942412128672005,0.0005893994,0.0008276697,0.02427755,0.02876925,0.017809907,0.021362573,6.885938346385956,1.9476436078548431,0.9872250201184937,0.9635486133021515,0.0003729188,0.0007202666,0.019311106,0.026837783,0.016957361,0.019350857,5.8019425719976425,1.7498364672064781,0.9919449601619994,0.9691425302904922,0.36790857,0.018985303,0.6065547,0.13778716,0.32218248,0.10254487,133.6992859840393,27.896013855934143,0.6468995954685948,-0.1099851254035773,0.0005043409,0.00071130844,0.022457536,0.026670367,0.019941973,0.018609393,6.815583258867264,1.6881462186574936,0.9891924761573986,0.9702246142849761,0.00050433556,0.00072665815,0.022457417,0.026956597,0.01813477,0.019151956,6.485447287559509,1.7664501443505287,0.9892285845002493,0.9690435876324756,0.754814624786377,0.010036945343017578
