Epoch,TrainLoss,ValLoss,TrainMSE_Low,ValMSE_Low,TrainRMSE_Low,ValRMSE_Low,TrainMAE_Low,ValMAE_Low,TrainMAPE_Low,ValMAPE_Low,TrainR2_Low,ValR2_Low,TrainMSE_Open,ValMSE_Open,TrainRMSE_Open,ValRMSE_Open,TrainMAE_Open,ValMAE_Open,TrainMAPE_Open,ValMAPE_Open,TrainR2_Open,ValR2_Open,TrainMSE_Volume,ValMSE_Volume,TrainRMSE_Volume,ValRMSE_Volume,TrainMAE_Volume,ValMAE_Volume,TrainMAPE_Volume,ValMAPE_Volume,TrainR2_Volume,ValR2_Volume,TrainMSE_High,ValMSE_High,TrainRMSE_High,ValRMSE_High,TrainMAE_High,ValMAE_High,TrainMAPE_High,ValMAPE_High,TrainR2_High,ValR2_High,TrainMSE_Adjusted Close,ValMSE_Adjusted Close,TrainRMSE_Adjusted Close,ValRMSE_Adjusted Close,TrainMAE_Adjusted Close,ValMAE_Adjusted Close,TrainMAPE_Adjusted Close,ValMAPE_Adjusted Close,TrainR2_Adjusted Close,ValR2_Adjusted Close,TrainTime,ValTime
1,0.14738235426657312,0.005796393379569054,0.047127966,0.007491655,0.21708976,0.08655435,0.20216995,0.07330225,100.54018497467041,6.413251161575317,0.06104685413061639,0.39470729490997036,0.046707783,0.0051879114,0.21611984,0.072027154,0.20368487,0.056706958,97.49202728271484,4.988249763846397,0.043382744748590496,0.5703990978473852,0.72753924,0.007003164,0.8529591,0.08368491,0.4277169,0.059248358,286.63599491119385,13.086926937103271,0.36313059953389115,0.00234330870344146,0.05576434,0.004500706,0.23614474,0.0670873,0.22213708,0.052099966,109.85548496246338,4.583750292658806,-0.1407797775040518,0.6268398283024165,0.057999685,0.004798529,0.24083124,0.069271415,0.22721243,0.053731713,110.65084934234619,4.675440117716789,-0.16283317892553373,0.6120690951403687,0.6428661346435547,0.0
2,0.11176371310484483,0.004163737082853914,0.03368453,0.0029843017,0.18353346,0.054628763,0.17908382,0.04776848,82.05615282058716,4.681127518415451,0.3288868380794253,0.7588816069144637,0.030510651,0.003285442,0.17467298,0.057318777,0.17119378,0.050206296,76.75296664237976,5.015431717038155,0.3751144622352621,0.7279388828881515,0.52553535,0.009345011,0.72493815,0.0966696,0.35128704,0.06581626,247.79539108276367,14.912419021129608,0.5399596368341042,-0.3312713650560388,0.034252133,0.0023457962,0.18507332,0.04843342,0.17995435,0.041552324,84.03831720352173,4.169835522770882,0.2992988070472392,0.8055065761749604,0.03280258,0.0028581358,0.18111484,0.053461537,0.17701486,0.04604926,79.62343692779541,4.559742286801338,0.3423424358295496,0.7689377107178161,0.622391939163208,0.0156552791595459
3,0.09066107586041543,0.002731896238401532,0.004848784,0.0008140757,0.06963321,0.028532011,0.063633606,0.024390105,23.873578011989594,2.359791100025177,0.9033953467045269,0.9342262716431041,0.0064846533,0.0015831923,0.08052734,0.03978935,0.07530504,0.034618054,29.657036066055298,3.4511350095272064,0.8671884790610382,0.8688988954297757,0.4399399,0.0086278245,0.66327965,0.09288608,0.32839948,0.06300336,303.5484790802002,14.210912585258484,0.6148877739035474,-0.22910263590175006,0.005487807,0.000970206,0.07407974,0.03114813,0.06720007,0.026735218,25.166451930999756,2.655378356575966,0.8877350790962849,0.9195587921661251,0.0067926254,0.0016641816,0.082417384,0.04079438,0.07587183,0.03527406,28.51908802986145,3.4714173525571823,0.8638149515002309,0.8654613991766095,0.6147871017456055,0.0069925785064697266
4,0.08021183133990105,0.001771046983776614,0.0015216616,0.000410871,0.039008483,0.020269953,0.03403287,0.016248472,12.22468689084053,1.5094772912561893,0.9696831997348483,0.9668034342273976,0.002071142,0.000486147,0.0455098,0.022048742,0.040762093,0.018816624,16.264979541301727,1.8456239253282547,0.9575811545880517,0.959743107032853,0.41959316,0.0069247996,0.6477601,0.08321538,0.3251091,0.05758881,310.3468179702759,12.87795901298523,0.6326987653131613,0.01350702561328776,0.0018911926,0.00052664866,0.043487843,0.022948828,0.03822058,0.019524153,13.54840099811554,1.9208148121833801,0.9613115782822187,0.956334782198732,0.002111792,0.0005067694,0.04595424,0.02251154,0.040646154,0.018783975,15.249182283878326,1.788794994354248,0.9576607763163788,0.959030882684741,0.5986297130584717,0.0
5,0.07733988691860769,0.0015163101023063063,0.0007372337,0.00035005057,0.027152048,0.01870964,0.023259975,0.01455489,8.561936765909195,1.3169515877962112,0.9853117378915784,0.9717174571765036,0.00095012836,0.00026813283,0.030824153,0.016374761,0.027123993,0.013449141,11.242703348398209,1.2800849974155426,0.9805405195772225,0.9777964398253641,0.4078481,0.0063035367,0.63862985,0.07939482,0.32220256,0.058483783,304.76372241973877,12.674899399280548,0.6429800967120112,0.10201079422586945,0.0009351459,0.00028635323,0.030580156,0.016921975,0.026766233,0.014022248,9.862925857305527,1.3442965224385262,0.9808695751554534,0.9762580339430252,0.0011458074,0.00037347712,0.033849776,0.019325556,0.029713774,0.015702996,11.205432564020157,1.4834614470601082,0.9770277562035906,0.9698067240048024,0.6223909854888916,0.0
6,0.07572076570979513,0.0015378995216451586,0.00041781642,0.0004536702,0.020440558,0.021299535,0.017069636,0.016750552,6.120714172720909,1.4865179546177387,0.9916756412969147,0.9633454459637157,0.0004944321,0.0002646458,0.02223583,0.016267937,0.019089017,0.012408112,8.383181691169739,1.124708168208599,0.9898735872128055,0.9780851951267119,0.401595,0.0063097975,0.6337152,0.07943423,0.31913066,0.061520815,295.867919921875,12.978114187717438,0.6484539227569643,0.10111895423917228,0.00054547965,0.00024785835,0.023355506,0.015743518,0.020407699,0.012300928,7.751549035310745,1.134288776665926,0.9888410380598383,0.9794496992394605,0.000597716,0.00041352576,0.02444823,0.020335333,0.02107455,0.015885005,8.266453444957733,1.4267410151660442,0.9880164180503177,0.9665690443924573,0.6382002830505371,0.0
7,0.07482783149052821,0.001887412549695,0.00033034207,0.00057355367,0.018175315,0.02394898,0.014990477,0.019640759,5.120296403765678,1.7460737377405167,0.9934184359903018,0.9536593920617281,0.00031280538,0.00034755204,0.017686306,0.018642748,0.014881247,0.014451176,6.243406236171722,1.294955424964428,0.9935934652803248,0.9712198888357202,0.3959019,0.007827268,0.6292074,0.08847185,0.31816715,0.07561916,284.054160118103,14.929632842540741,0.6534375165159032,-0.11505684708616992,0.00040004644,0.00026058775,0.020001162,0.016142732,0.017258346,0.0123827085,6.18259571492672,1.1262553744018078,0.9918161881449671,0.978394285195361,0.00040675173,0.0004281013,0.020168087,0.020690609,0.016944807,0.016395692,6.269221007823944,1.4720992185175419,0.9918450521276582,0.9653907046924811,0.657402753829956,0.010020256042480469
8,0.07397221381121039,0.002349906144081615,0.0003261763,0.00048065052,0.01806035,0.021923743,0.015011243,0.018003717,5.466852709650993,1.6067180782556534,0.9935014322446475,0.9611655577650994,0.00026496805,0.00029157166,0.016277838,0.01707547,0.013692342,0.013180114,5.311347171664238,1.1852903291583061,0.9945732166939194,0.9758555150886163,0.3921243,0.010426608,0.6261983,0.102110766,0.3186115,0.09143366,271.1651802062988,17.30368435382843,0.6567443246962661,-0.48535348722640737,0.00036894743,0.0002063514,0.019208005,0.014364936,0.016458252,0.010995372,5.543670058250427,1.0096417739987373,0.9924523850359741,0.9828911025056842,0.00038019326,0.00034435015,0.019498546,0.018556673,0.016356654,0.0146569265,5.749952420592308,1.3250340707600117,0.9923775225881114,0.9721614600916397,0.6713342666625977,0.0
9,0.07323716403814134,0.0029020833113463595,0.00035035276,0.00042467174,0.018717712,0.020607565,0.015647542,0.016886981,6.219206377863884,1.5112949535250664,0.9930197529836451,0.9656883935021454,0.00021772533,0.00025395292,0.014755519,0.0159359,0.012274927,0.012318999,4.540339857339859,1.1121569201350212,0.9955407900441527,0.978970647687197,0.3889929,0.0133127,0.6236929,0.115380675,0.31800437,0.10544358,255.14345169067383,19.44584548473358,0.6594854624581843,-0.896500694073473,0.00034934562,0.00019439496,0.01869079,0.013942559,0.015958663,0.010628487,5.362449958920479,0.9780764579772949,0.9928533823053977,0.9838824288332771,0.0003350537,0.0003246948,0.01830447,0.018019289,0.015195703,0.014293678,5.452083796262741,1.2981350533664227,0.9932825230206218,0.9737504685690345,0.6634228229522705,0.01565408706665039
10,0.07257202159802706,0.00315890553756617,0.00034818315,0.00044183628,0.018659666,0.021019902,0.015619579,0.017325494,6.121193245053291,1.5515370294451714,0.993062979144615,0.9643015746772903,0.0002139223,0.000257739,0.014626083,0.016054252,0.012287756,0.012490486,4.551533982157707,1.1286122724413872,0.995618679402997,0.9786571323328678,0.38601622,0.014528865,0.621302,0.12053574,0.31691417,0.11058955,243.87543201446533,20.248374342918396,0.6620912025602887,-1.0697528585337484,0.00039403688,0.00022496388,0.019850362,0.014998795,0.017083017,0.011404545,5.949370190501213,1.0426439344882965,0.9919391260944417,0.9813479152235425,0.0003497558,0.00034112355,0.01870176,0.018469531,0.015611326,0.0147173945,5.571919307112694,1.3363341800868511,0.9929877619447085,0.972422307908635,0.6636917591094971,0.0
