Epoch,TrainLoss,ValLoss,TrainMSE_Low,ValMSE_Low,TrainRMSE_Low,ValRMSE_Low,TrainMAE_Low,ValMAE_Low,TrainMAPE_Low,ValMAPE_Low,TrainR2_Low,ValR2_Low,TrainMSE_Open,ValMSE_Open,TrainRMSE_Open,ValRMSE_Open,TrainMAE_Open,ValMAE_Open,TrainMAPE_Open,ValMAPE_Open,TrainR2_Open,ValR2_Open,TrainMSE_Volume,ValMSE_Volume,TrainRMSE_Volume,ValRMSE_Volume,TrainMAE_Volume,ValMAE_Volume,TrainMAPE_Volume,ValMAPE_Volume,TrainR2_Volume,ValR2_Volume,TrainMSE_High,ValMSE_High,TrainRMSE_High,ValRMSE_High,TrainMAE_High,ValMAE_High,TrainMAPE_High,ValMAPE_High,TrainR2_High,ValR2_High,TrainMSE_Adjusted Close,ValMSE_Adjusted Close,TrainRMSE_Adjusted Close,ValRMSE_Adjusted Close,TrainMAE_Adjusted Close,ValMAE_Adjusted Close,TrainMAPE_Adjusted Close,ValMAPE_Adjusted Close,TrainR2_Adjusted Close,ValR2_Adjusted Close,TrainTime,ValTime
1,0.1442493782036335,0.010314276628196239,0.043999836,0.0022603823,0.20976138,0.047543477,0.20330065,0.04105343,59.642601013183594,3.4339915961027145,-0.3814759807426624,0.8450389950102368,0.04728478,0.001430976,0.21745063,0.037828244,0.20865166,0.030741751,62.95076012611389,2.692660875618458,-0.5111060370242768,0.9024803679072047,0.6975372,0.04428417,0.8351869,0.21043804,0.4433561,0.14351529,244.48022842407227,38.718193769454956,0.323961215329884,0.21226068384548236,0.053164423,0.0017802914,0.23057412,0.0421935,0.22406207,0.032985393,65.6445324420929,2.9113102704286575,-0.6825863825110221,0.8790104945658476,0.052847713,0.0018155612,0.22988631,0.0426094,0.22249712,0.03258552,65.7617449760437,2.9349226504564285,-0.6717408802339353,0.8751740883001518,0.6941277980804443,0.010015010833740234
2,0.12217234830399427,0.018692260980606078,0.02153102,0.010622012,0.14673452,0.10306315,0.12746175,0.096270494,42.88070201873779,7.726164162158966,0.32398414115173946,0.271805503079104,0.023225341,0.010398551,0.15239863,0.10197329,0.12471872,0.09623666,43.93552541732788,7.80397430062294,0.25777478737939497,0.29134878817152854,0.51568294,0.046876077,0.7181107,0.21650884,0.38319448,0.15990172,251.11873149871826,39.98407423496246,0.5002106490160854,0.16615509053387856,0.023645133,0.014684351,0.15376975,0.12117901,0.1298678,0.11496646,44.875869154930115,9.262757748365402,0.25166158493729585,0.0020439891205473737,0.02053849,0.010880306,0.14331256,0.10430871,0.12122302,0.09778299,41.945722699165344,7.896171510219574,0.350302346166839,0.2519425065832609,0.6998708248138428,0.0
3,0.10100018368650447,0.008314839284867048,0.0027670376,0.00108386,0.052602638,0.03292203,0.047038447,0.026346462,12.229127436876297,2.1511033177375793,0.9131225013435488,0.9256957368179571,0.0013849689,0.0014329258,0.03721517,0.03785401,0.033027586,0.031244397,9.415887296199799,2.514784596860409,0.9557397780472171,0.9023474933984467,0.45272565,0.03735045,0.6728489,0.19326265,0.3547155,0.10086745,294.7000026702881,38.06052207946777,0.5612275620936936,0.3355996803534781,0.004486715,0.00086882396,0.06698295,0.02947582,0.061390623,0.023347268,15.571328997612,2.05049067735672,0.8580011703898092,0.9409542751097595,0.0023939323,0.00083813677,0.04892783,0.028950593,0.043782316,0.022541272,11.223243176937103,1.8911518156528473,0.9242723261412114,0.9423752894602538,0.6806414127349854,0.0
4,0.08756552793441669,0.00817621813621372,0.0013936982,0.00063158426,0.037332267,0.025131341,0.032881718,0.019358087,8.096957951784134,1.648157648742199,0.9562416470934435,0.9567015999661691,0.00073288474,0.00041820595,0.027071845,0.020450084,0.024044257,0.015665937,6.168322265148163,1.338915154337883,0.9765787956886748,0.9714996690334206,0.43313754,0.038438547,0.65813184,0.19605751,0.34957668,0.10420595,307.68277645111084,39.44084942340851,0.5802119308600044,0.31624432898431964,0.0009981628,0.0007622482,0.031593714,0.027608842,0.027401863,0.02092181,7.182513922452927,1.7118606716394424,0.9684094181326335,0.948197230408075,0.0008155502,0.0006305049,0.02855784,0.025109857,0.024490321,0.019109167,6.162124872207642,1.5937456861138344,0.9742015610086622,0.9566506728300245,0.6588225364685059,0.0
5,0.08532187350176494,0.008046668162569404,0.00043980413,0.0014867767,0.020971507,0.038558744,0.016081149,0.034047775,5.107416585087776,2.768362872302532,0.9861913389776364,0.8980736902171981,0.00023869697,0.00054725603,0.015449821,0.023393504,0.011902011,0.018255606,3.663831949234009,1.4965040609240532,0.9923718285561308,0.9627050276678755,0.43306655,0.034320526,0.6580779,0.185258,0.35171124,0.09948598,301.15020275115967,36.43920421600342,0.5802807885807315,0.3894968267415021,0.00083084736,0.0026324836,0.028824423,0.051307734,0.021401241,0.04711795,7.790180295705795,3.831881657242775,0.9737047360724318,0.8210950934505126,0.00040264684,0.0012463024,0.020066062,0.035303008,0.014945182,0.029843355,4.59391325712204,2.438560128211975,0.9872630029397514,0.9143125366256752,0.6816706657409668,0.015613555908203125
6,0.08470940762473379,0.00764148409361951,0.0007002362,0.00063434226,0.026461976,0.025186151,0.022427067,0.019859916,5.89900016784668,1.6175821423530579,0.9780144753434775,0.9565125249468172,0.00035974497,0.00041743627,0.018966945,0.020431258,0.016004013,0.015139895,4.319140687584877,1.245032250881195,0.9885034290427746,0.9715521224315277,0.42857164,0.03479333,0.65465385,0.1865297,0.3462405,0.09769564,303.67324352264404,37.08573281764984,0.5846371494811917,0.38108638889338897,0.00049974833,0.0010401651,0.022355052,0.03225159,0.01916189,0.026446586,5.463578552007675,2.1339764818549156,0.9841836014918431,0.9293098499804563,0.0003622796,0.0013221444,0.019033644,0.036361303,0.014852979,0.030559478,3.9703737944364548,2.485836111009121,0.9885399470548988,0.909098146159119,0.6775343418121338,0.0
7,0.08287355049705024,0.0073571407701820135,0.0005268062,0.00051764795,0.02295226,0.022751877,0.017991595,0.01750667,4.986412823200226,1.4363626949489117,0.9834597084114843,0.9645125273217375,0.000426539,0.00036605875,0.02065282,0.019132663,0.013927763,0.013985659,4.388191178441048,1.1561189778149128,0.98636885572876,0.9750534485325034,0.42282796,0.03367012,0.6502522,0.1834942,0.34600323,0.09807654,306.0781240463257,36.1930787563324,0.5902037685066999,0.4010664012681704,0.00027899272,0.0008366338,0.016703075,0.028924622,0.013112882,0.023014454,3.4484047442674637,1.8651563674211502,0.9911702338822123,0.9431419472236431,0.00067830295,0.0013952433,0.02604425,0.037352957,0.01784658,0.031614695,5.516306310892105,2.5803422555327415,0.9785431230770533,0.9040723481539954,0.6303644180297852,0.0
8,0.08259868266417042,0.0071624795673415065,0.000945421,0.000511959,0.030747699,0.022626512,0.025697533,0.016854063,6.909256428480148,1.4250471256673336,0.9703163345491239,0.9649025296727363,0.00061880547,0.00033465665,0.024875801,0.018293623,0.018087637,0.013409737,5.484883114695549,1.1230484582483768,0.9802244884589989,0.9771934720803545,0.42368403,0.033910416,0.65091014,0.1841478,0.34434417,0.09732923,305.4911136627197,36.49848997592926,0.5893740731832285,0.3967919467176352,0.00060891337,0.00039456625,0.02467617,0.019863691,0.020075629,0.014273627,5.394284799695015,1.1957962065935135,0.9807286638815753,0.9731850776846251,0.0008598829,0.000660796,0.02932376,0.025705952,0.021463165,0.020028448,6.467941403388977,1.6462784260511398,0.972799175472771,0.954568060071121,0.6315717697143555,0.007999181747436523
9,0.08350136132075396,0.00715894452878274,0.00072899245,0.00047083778,0.026999861,0.021698797,0.02030195,0.016492488,6.059465557336807,1.3634594157338142,0.977111607433418,0.9677216103433794,0.00052298827,0.00044652674,0.022868937,0.02113118,0.015560104,0.016367922,5.018189176917076,1.3395573012530804,0.9832865728586665,0.9695696354757954,0.4227411,0.033955142,0.6501854,0.1842692,0.34302667,0.09708902,305.1920175552368,36.569035053253174,0.5902879884835532,0.39599630417523435,0.0003525344,0.000344077,0.018775899,0.018549314,0.015564712,0.013226683,3.7415076047182083,1.110706478357315,0.988842734275217,0.9766163519701739,0.00078278105,0.0005781354,0.027978225,0.024044447,0.022668164,0.017799487,6.245242431759834,1.5081181190907955,0.9752381536674456,0.9602512509627777,0.6143341064453125,0.0
10,0.08303807340288426,0.00788480108603835,0.00059489795,0.0011526587,0.02439053,0.033950828,0.01806027,0.029159578,5.3631506860256195,2.3596977815032005,0.9813218121624214,0.9209792173287918,0.00054654066,0.002039789,0.023378208,0.045164023,0.014938394,0.041253164,4.79544922709465,3.3660471439361572,0.9825338961891515,0.8609903439737656,0.4122832,0.033766795,0.6420928,0.18375744,0.34071997,0.09683691,313.4237289428711,36.4063024520874,0.6004235959341844,0.39934666762730475,0.00026340038,0.0011050979,0.016229615,0.03324301,0.011759057,0.028122827,3.2375801354646683,2.281849645078182,0.9916637132273045,0.9248969849880658,0.000636312,0.0013596647,0.025225226,0.03687363,0.017319523,0.03134631,5.370475351810455,2.5498900562524796,0.9798714317464247,0.9065184952336475,0.6409838199615479,0.015653371810913086
11,0.08084846311248839,0.007454500021412969,0.0012579304,0.0014097352,0.035467315,0.03754644,0.024846971,0.032384273,7.895411550998688,2.609577588737011,0.9605043857674916,0.903355295067074,0.0014063519,0.00062046095,0.037501357,0.024909053,0.026358532,0.019569011,8.476797491312027,1.5894092619419098,0.9550564297899161,0.9577161825091176,0.41210482,0.033288136,0.6419539,0.18245037,0.34098107,0.10353267,310.5400800704956,35.6999546289444,0.6005964612073778,0.40786125174983234,0.00068842777,0.0014057,0.026237907,0.037492666,0.018203028,0.03231456,5.643102154135704,2.6092346757650375,0.9782121349748936,0.9044679216381053,0.0014056369,0.00054846785,0.037491824,0.023419391,0.02734035,0.01784446,8.659189939498901,1.4858429320156574,0.9555352418728327,0.962290999512654,0.6699914932250977,0.01564478874206543
12,0.08132255014360827,0.00734892173204571,0.0016382014,0.00090823125,0.0404747,0.030136876,0.030751508,0.024758056,9.253530949354172,1.996603049337864,0.9485649029815049,0.9377360049404622,0.0012708333,0.0004081715,0.03564875,0.020203255,0.026842365,0.015448651,8.300400525331497,1.2786075472831726,0.9593872705994644,0.9721835080679717,0.40870172,0.033785496,0.63929784,0.18380831,0.339982,0.10929422,310.7903242111206,35.600242018699646,0.6038946740939166,0.3990140725326714,0.0008497694,0.0005251345,0.029150805,0.022915814,0.023513386,0.016871665,6.5621040761470795,1.3798370957374573,0.9731058776548931,0.9643115917685694,0.0011438167,0.0011175754,0.03382036,0.03343016,0.023855783,0.027763788,7.614181190729141,2.2527210414409637,0.963817443657452,0.9231629453704615,0.6760783195495605,0.0
13,0.08048365795847905,0.007219323504250497,0.0019443366,0.00068387087,0.044094633,0.026150925,0.034847472,0.021101302,10.196500271558762,1.7197588458657265,0.9389530877615134,0.9531170803219511,0.0012649085,0.0007713991,0.03556555,0.027774073,0.026262548,0.022691095,8.178029954433441,1.8345966935157776,0.959576616835924,0.94742989757357,0.40533933,0.033414915,0.63666266,0.18279748,0.33828464,0.10486306,314.76542949676514,35.6453537940979,0.6071533861864971,0.40560611461361507,0.001188286,0.00039182787,0.034471523,0.019794643,0.029004402,0.014647711,7.781973481178284,1.2463300488889217,0.9623922620163212,0.9733711798983862,0.0022221468,0.0008346082,0.047139652,0.028889587,0.03404984,0.023054833,10.753601789474487,1.8783945590257645,0.9297064458017436,0.9426178933564546,0.6542637348175049,0.015657424926757812
14,0.08068917506127893,0.00815298551460728,0.001537872,0.0009096411,0.03921571,0.030160258,0.029746916,0.024936909,8.979535102844238,2.008678764104843,0.951714974409245,0.9376393481781423,0.0018623013,0.0025125018,0.04315439,0.05012486,0.02852222,0.04539195,9.597355872392654,3.6697104573249817,0.9404853953355119,0.8287754204121018,0.407185,0.033493597,0.63811046,0.18301256,0.33842632,0.10205731,318.3317184448242,36.099547147750854,0.6053646338147601,0.40420644085950475,0.0006468326,0.0016943124,0.025432903,0.041162025,0.01943679,0.03612771,5.576220527291298,2.905857190489769,0.9795285720209157,0.8848536668361326,0.0016380356,0.002154879,0.040472653,0.046420675,0.027432643,0.040645722,9.095646440982819,3.28386090695858,0.9481837359673734,0.8518448418668609,0.644395112991333,0.015650272369384766
15,0.07994260745095637,0.007647336751688272,0.003954693,0.00073616905,0.06288635,0.027132435,0.048748344,0.021976853,14.45670872926712,1.8142057582736015,0.8758333213138321,0.949531763644054,0.0037624345,0.0009173942,0.061338685,0.030288516,0.047110353,0.02515263,14.240561425685883,2.051292359828949,0.8797617924790448,0.9374804685158129,0.40383175,0.034560047,0.6354776,0.18590333,0.33866844,0.11335707,313.7881278991699,36.05109453201294,0.6086145692611318,0.38523608823852706,0.003096331,0.0010985252,0.055644684,0.03314401,0.04345987,0.027301405,12.706683576107025,2.2096818313002586,0.9020050601748577,0.9253436675241773,0.004304029,0.0009245444,0.0656051,0.030406322,0.05021292,0.024530321,15.121686458587646,2.0139947533607483,0.8638499188069062,0.9364344784821216,0.6418519020080566,0.008048295974731445
16,0.08088388468604535,0.008095453679561614,0.0007718756,0.001080192,0.027782649,0.032866277,0.022582695,0.027777703,5.96812479197979,2.2318528965115547,0.9757651927122752,0.9259471850488545,0.00053935236,0.0019162778,0.02322396,0.04377531,0.019553035,0.03934863,5.096230655908585,3.176695853471756,0.9827636158449669,0.869407518913896,0.38091272,0.035191655,0.61718124,0.18759438,0.34126082,0.117407106,349.3251323699951,35.610637068748474,0.6308271672307191,0.37400096246733183,0.0005253275,0.0010061667,0.022920024,0.03172013,0.019386418,0.026461134,4.644206911325455,2.1267227828502655,0.9833740524607227,0.9316203992583024,0.00084664836,0.0012829766,0.029097222,0.035818662,0.023419335,0.030208902,6.414325535297394,2.4392420426011086,0.9732178258632933,0.9117910637841122,0.6959218978881836,0.0
