Epoch,TrainLoss,ValLoss,TrainMSE_Low,ValMSE_Low,TrainRMSE_Low,ValRMSE_Low,TrainMAE_Low,ValMAE_Low,TrainMAPE_Low,ValMAPE_Low,TrainR2_Low,ValR2_Low,TrainMSE_Open,ValMSE_Open,TrainRMSE_Open,ValRMSE_Open,TrainMAE_Open,ValMAE_Open,TrainMAPE_Open,ValMAPE_Open,TrainR2_Open,ValR2_Open,TrainMSE_Volume,ValMSE_Volume,TrainRMSE_Volume,ValRMSE_Volume,TrainMAE_Volume,ValMAE_Volume,TrainMAPE_Volume,ValMAPE_Volume,TrainR2_Volume,ValR2_Volume,TrainMSE_High,ValMSE_High,TrainRMSE_High,ValRMSE_High,TrainMAE_High,ValMAE_High,TrainMAPE_High,ValMAPE_High,TrainR2_High,ValR2_High,TrainMSE_Adjusted Close,ValMSE_Adjusted Close,TrainRMSE_Adjusted Close,ValRMSE_Adjusted Close,TrainMAE_Adjusted Close,ValMAE_Adjusted Close,TrainMAPE_Adjusted Close,ValMAPE_Adjusted Close,TrainR2_Adjusted Close,ValR2_Adjusted Close,TrainTime,ValTime
1,0.28201469232638676,0.1979673147201538,0.095986806,0.191942,0.30981737,0.43811187,0.25583464,0.4295675,212.6642942428589,41.23428463935852,-0.5564827629399047,-12.352856071595085,0.12802169,0.14651881,0.35780117,0.38277775,0.28324214,0.37474313,252.93619632720947,36.242884397506714,-1.1123595580991958,-9.522448561148114,0.59454393,0.2913024,0.7710667,0.5397244,0.48732102,0.5332541,418.1941032409668,148.47708940505981,0.4648036590024379,-29.94689495575006,0.1113702,0.21248046,0.33372173,0.46095604,0.2738253,0.45250526,231.22951984405518,43.41432452201843,-0.8131371925762496,-14.011609493145457,0.10506513,0.14759286,0.3241375,0.38417816,0.26267448,0.37588722,230.2198886871338,36.192917823791504,-0.7234937267014958,-9.39594532526955,0.2700917720794678,0.0
2,0.15745783125360807,0.03812588220462203,0.03258113,0.0046731927,0.18050243,0.06836075,0.13106415,0.05426852,110.45145988464355,4.955590516328812,0.47167779717329483,0.6748993591584165,0.026957864,0.006306139,0.1641885,0.0794112,0.11416091,0.06575991,102.80214548110962,6.064768135547638,0.5551949229948754,0.5471159936793951,0.43786904,0.15995112,0.66171676,0.39993888,0.33159086,0.38774276,216.30477905273438,144.53281164169312,0.6058392485278028,-15.992617763760059,0.02508137,0.013888483,0.15837099,0.11784941,0.11616906,0.103574015,96.46497964859009,9.575219452381134,0.5916684694074488,0.0187875747303885,0.038119983,0.0058104773,0.19524339,0.07622649,0.13354822,0.061160643,123.13172817230225,5.590586364269257,0.37467780331597655,0.5907294983656444,0.26587367057800293,0.015620946884155273
3,0.11269153126825888,0.07819161862134934,0.013192709,0.10474675,0.114859514,0.32364604,0.09494795,0.31810308,58.431243896484375,30.590930581092834,0.7860724641924473,-6.286931601786115,0.0074709584,0.078122675,0.08643471,0.27950433,0.06474636,0.27453327,31.085211038589478,26.61062777042389,0.8767290836992094,-4.610486760685077,0.38407883,0.021141931,0.61974096,0.14540266,0.38723376,0.13348882,494.04754638671875,43.71125400066376,0.6542600568841468,-1.246040819678933,0.009021689,0.09192298,0.09498257,0.30318803,0.07563673,0.2971635,40.91341495513916,28.496405482292175,0.8531244431900524,-5.494300976675627,0.011449037,0.095023744,0.10700017,0.30825922,0.089144364,0.30285716,54.091763496398926,29.24267053604126,0.8121894116707392,-5.693153445460385,0.2821168899536133,0.0
4,0.07647960049410661,0.012841657316312195,0.004671129,0.0016296546,0.06834566,0.04036898,0.059116904,0.032006048,33.90904664993286,2.989221177995205,0.9242548937114659,0.8866296105583075,0.0034401275,0.002018342,0.0586526,0.04492596,0.051672317,0.0362964,29.07167077064514,3.3792581409215927,0.9432378476939103,0.8550499922420761,0.4350991,0.0507145,0.6596204,0.2251988,0.29983985,0.2034069,197.59502410888672,84.98755693435669,0.6083326470699922,-4.387721446034204,0.004268043,0.0077280425,0.06533026,0.08790929,0.057011195,0.07828323,32.80346989631653,7.293907552957535,0.9305150898920231,0.4540186980262969,0.004384959,0.0021177467,0.066219024,0.046018984,0.05718937,0.03679765,34.03417766094208,3.413013741374016,0.928068904414594,0.8508330186676516,0.2633810043334961,0.0
5,0.08609324526041746,0.03129702508449554,0.010058548,0.043597415,0.10029232,0.20879994,0.07830488,0.20386162,53.135985136032104,19.56494003534317,0.8368946975451677,-2.03294721435912,0.007788043,0.03370195,0.08824989,0.1835809,0.06803333,0.17894265,47.52676784992218,17.302219569683075,0.871497173782644,-1.4203517606109775,0.5414059,0.007610592,0.7358029,0.08723871,0.49552083,0.059485834,651.2964725494385,33.66050720214844,0.5126373948588814,0.1914786769033303,0.006539448,0.036769588,0.08086685,0.19175398,0.061781354,0.18613617,41.76211059093475,17.794720828533173,0.8935360011842233,-1.5977480996192495,0.0076407557,0.034805577,0.08741142,0.18656252,0.066399485,0.18155643,46.975329518318176,17.477796971797943,0.8746606509371453,-1.4515881670389814,0.2651941776275635,0.0
6,0.09189477736751238,0.034206286445260047,0.0059478865,0.026151722,0.07712254,0.16171494,0.06872142,0.15636292,49.551281332969666,14.937078952789307,0.9035515134364115,-0.8193003412793043,0.0037074366,0.015936874,0.060888723,0.12624133,0.05438503,0.12106568,39.1901820898056,11.63194552063942,0.9388272462779299,-0.14452844375348417,0.6159941,0.085956015,0.7848529,0.29318255,0.43033984,0.2837645,181.07707500457764,75.3692090511322,0.44549473566913433,-8.131650637355238,0.0043536294,0.02097945,0.06598204,0.14484285,0.059688713,0.13907182,40.86834490299225,13.231486082077026,0.9291217164717376,-0.48218472600860474,0.0037349667,0.022007369,0.061114375,0.14834881,0.05438655,0.14302029,35.75780987739563,13.709677755832672,0.9387314106329101,-0.5501250323536915,0.25936388969421387,0.0
7,0.11614082400531818,0.010008002445101739,0.002087538,0.0039291815,0.045689583,0.06268318,0.04037173,0.056763433,30.17367720603943,5.362061038613319,0.9661493442593801,0.7266580891119253,0.001043637,0.0038191364,0.03230537,0.06179916,0.027664507,0.056477565,19.71672922372818,5.389802157878876,0.9827799736964712,0.7257234931851465,0.4620362,0.03013444,0.67973244,0.17359275,0.30759647,0.14787413,163.63364458084106,66.68832898139954,0.5840844320569529,-2.2013718374482427,0.0011613116,0.007544763,0.034078024,0.0868606,0.029085934,0.080669455,17.66708195209503,7.634563744068146,0.9810935282177001,0.46696730188706004,0.0014345819,0.0046124933,0.037875876,0.06791534,0.033276387,0.061595928,21.60726636648178,5.838041007518768,0.9764670446746592,0.6751114188038231,0.2536191940307617,0.015673160552978516
8,0.08668896517095466,0.012676314543932676,0.00090228574,0.0037431081,0.030038072,0.061180945,0.023211982,0.055600554,13.018445670604706,5.28736338019371,0.9853689039564398,0.7396026997668437,0.0013593908,0.0023876862,0.036869917,0.048863955,0.027110703,0.043292258,19.833751022815704,4.145381972193718,0.9775700337479266,0.8285250386190954,0.3441802,0.04918365,0.5866687,0.22177388,0.3404282,0.20054992,443.9438819885254,81.30437731742859,0.6901760210068779,-4.225090271893351,0.0023289002,0.003932623,0.04825868,0.06271063,0.035734184,0.05535582,27.460330724716187,5.231977626681328,0.9620848695909506,0.7221626266422854,0.0015991379,0.0041345027,0.03998922,0.0643001,0.028990768,0.058290154,21.685653924942017,5.556957051157951,0.9737676603372494,0.7087795107652359,0.2580840587615967,0.006012678146362305
9,0.06730942636107405,0.004552274150773883,0.00048034056,0.001130267,0.021916673,0.033619445,0.017984219,0.027612362,9.954047203063965,2.627798542380333,0.9922109946462649,0.9213705582218693,0.0007152418,0.0010167116,0.026744006,0.031885915,0.019912247,0.025887605,16.713376343250275,2.4743983522057533,0.9881985000792918,0.9269834692889531,0.34586027,0.01635792,0.5880989,0.12789808,0.2763508,0.09918662,237.33561038970947,49.793919920921326,0.6886636308589955,-0.7378050199783972,0.0018660511,0.0021525514,0.043197814,0.046395596,0.033919834,0.039451104,30.731254816055298,3.7043921649456024,0.9696201795149757,0.8479235917707637,0.0009912612,0.0021039215,0.031484302,0.045868523,0.026510704,0.039659165,20.74144035577774,3.757728263735771,0.9837392978403299,0.8518068316786064,0.26314735412597656,0.0
10,0.06794157767047485,0.007539316918700934,0.0005073203,0.0028151334,0.022523772,0.05305783,0.016993025,0.047747713,11.055295169353485,4.541231691837311,0.9917735028862549,0.8041592365910746,0.00048889656,0.0020668563,0.022111006,0.04546269,0.01562977,0.040099602,9.728839248418808,3.837038204073906,0.9919332005715672,0.8515658710734906,0.31955642,0.02808431,0.5652932,0.16758373,0.29157382,0.14536168,303.58805656433105,64.01717066764832,0.7123418331012202,-1.9835736813046183,0.00047363434,0.0026058953,0.021763142,0.05104797,0.016976496,0.043660887,9.390407800674438,4.11173515021801,0.9922891031573501,0.8158951323639124,0.0004264448,0.0021243857,0.02065054,0.046091057,0.016134076,0.03986179,9.252186119556427,3.7875600159168243,0.9930045774245982,0.8503654038799984,0.25363588333129883,0.010014533996582031
